Run,age_at_death,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,gender,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,microarray_study,Organism,Platform,proteomics_study,ReleaseDate,Sample Name,source_name,SRA Study,Tissue,proteomics_sv1,proteomics_sv2,proteomics_sv3
SRR2015772,74,RNA-Seq,202,6749529222,PRJNA283498,SAMN03651515,4079828837,GEO,public,"sra,fastq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX1022916,male,GSM1679707,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,P_28,Homo sapiens,ILLUMINA,no,2016-01-18T00:00:00Z,GSM1679707,BA9 prefrontal cortex,SRP058181,brain (BA9 prefrontal cortex),,,
SRR2015773,89,RNA-Seq,202,5730298832,PRJNA283498,SAMN03651506,3420563445,GEO,public,"fastq,sra","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX1022917,male,GSM1679708,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,P_29,Homo sapiens,ILLUMINA,no,2016-01-18T00:00:00Z,GSM1679708,BA9 prefrontal cortex,SRP058181,brain (BA9 prefrontal cortex),,,
SRR2015774,66,RNA-Seq,202,6405700376,PRJNA283498,SAMN03651507,3883116116,GEO,public,"fastq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX1022918,male,GSM1679709,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,P_30,Homo sapiens,ILLUMINA,yes,2016-01-18T00:00:00Z,GSM1679709,BA9 prefrontal cortex,SRP058181,brain (BA9 prefrontal cortex),-0.05159145,0.41220447,0.35588998
SRR2015775,65,RNA-Seq,202,6627891488,PRJNA283498,SAMN03651516,3914649129,GEO,public,"fastq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX1022919,male,GSM1679710,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,P_31,Homo sapiens,ILLUMINA,yes,2016-01-18T00:00:00Z,GSM1679710,BA9 prefrontal cortex,SRP058181,brain (BA9 prefrontal cortex),0.11906598,0.31694454,-0.15025567
SRR2015776,85,RNA-Seq,202,2025166554,PRJNA283498,SAMN03651517,1196139156,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX1022920,male,GSM1679711,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,P_33,Homo sapiens,ILLUMINA,no,2016-01-18T00:00:00Z,GSM1679711,BA9 prefrontal cortex,SRP058181,brain (BA9 prefrontal cortex),,,
SRR2015777,64,RNA-Seq,202,9568346504,PRJNA283498,SAMN03651518,6273484495,GEO,public,"fastq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX1022921,male,GSM1679712,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,no,Homo sapiens,ILLUMINA,no,2016-01-18T00:00:00Z,GSM1679712,BA9 prefrontal cortex,SRP058181,brain (BA9 prefrontal cortex),,,
SRR2015778,64,RNA-Seq,202,11370972688,PRJNA283498,SAMN03651519,7465486558,GEO,public,"sra,fastq","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX1022922,male,GSM1679713,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,no,Homo sapiens,ILLUMINA,no,2016-01-18T00:00:00Z,GSM1679713,BA9 prefrontal cortex,SRP058181,brain (BA9 prefrontal cortex),,,
SRR2015779,75,RNA-Seq,202,9358760192,PRJNA283498,SAMN03651520,5926892063,GEO,public,"fastq,sra","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX1022923,male,GSM1679714,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,no,Homo sapiens,ILLUMINA,no,2016-01-18T00:00:00Z,GSM1679714,BA9 prefrontal cortex,SRP058181,brain (BA9 prefrontal cortex),,,
SRR2015780,68,RNA-Seq,202,9161671216,PRJNA283498,SAMN03651521,5794826067,GEO,public,"sra,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX1022924,male,GSM1679715,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,no,Homo sapiens,ILLUMINA,no,2016-01-18T00:00:00Z,GSM1679715,BA9 prefrontal cortex,SRP058181,brain (BA9 prefrontal cortex),,,
SRR2015781,95,RNA-Seq,202,7991353310,PRJNA283498,SAMN03651522,5042937896,GEO,public,"sra,fastq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX1022925,male,GSM1679716,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,no,Homo sapiens,ILLUMINA,no,2016-01-18T00:00:00Z,GSM1679716,BA9 prefrontal cortex,SRP058181,brain (BA9 prefrontal cortex),,,
SRR2015782,74,RNA-Seq,202,12881558988,PRJNA283498,SAMN03651523,8678902865,GEO,public,"sra,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX1022926,male,GSM1679717,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,no,Homo sapiens,ILLUMINA,no,2016-01-18T00:00:00Z,GSM1679717,BA9 prefrontal cortex,SRP058181,brain (BA9 prefrontal cortex),,,
SRR2015783,68,RNA-Seq,202,12453107494,PRJNA283498,SAMN03651524,8449681971,GEO,public,"sra,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX1022927,male,GSM1679718,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,no,Homo sapiens,ILLUMINA,no,2016-01-18T00:00:00Z,GSM1679718,BA9 prefrontal cortex,SRP058181,brain (BA9 prefrontal cortex),,,
SRR2015784,79,RNA-Seq,202,7977784364,PRJNA283498,SAMN03651525,5030926348,GEO,public,"sra,fastq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX1022928,male,GSM1679719,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,no,Homo sapiens,ILLUMINA,no,2016-01-18T00:00:00Z,GSM1679719,BA9 prefrontal cortex,SRP058181,brain (BA9 prefrontal cortex),,,
SRR2015785,70,RNA-Seq,202,7878113524,PRJNA283498,SAMN03651526,4906792547,GEO,public,"sra,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX1022929,male,GSM1679720,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,no,Homo sapiens,ILLUMINA,no,2016-01-18T00:00:00Z,GSM1679720,BA9 prefrontal cortex,SRP058181,brain (BA9 prefrontal cortex),,,
